FMTNAME,START,END,LABEL,MIN,MAX,DEFAULT,LENGTH,FUZZ,TYPE,HLO,DATATYPE
OCCURECAT,3,3,"3: Manual labor, construction, maintenance, farming, production, transportation, etc",1,84,84,84,1E-12,N,,
OCCURECAT,4,4,4: Never worked,1,84,84,84,1E-12,N,,
PHYSIFM,0,0,0: no physical activity,1,84,84,84,1E-12,N,,
PHYSIFM,1,1,1: Mainly sitting with slight arm movement,1,84,84,84,1E-12,N,,
PHYSIFM,2,2,2: Sitting or standing with some walking,1,84,84,84,1E-12,N,,
PHYSIFM,3,3,"3: Walking, with some handling of materials weighing <50lb",1,84,84,84,1E-12,N,,
PHYSIFM,4,4,4: Walking + heavy manual work often requiring handling of materials weighing >50lbs,1,84,84,84,1E-12,N,,
RENUM,1,1,1: Black,1,40,11,11,1E-12,N,,
RENUM,2,2,2: Hispanic,1,40,11,11,1E-12,N,,
RENUM,3,3,3: White,1,40,11,11,1E-12,N,,
S,1,1,1:North - lo,1,40,14,14,1E-12,N,,
S,2,2,2:North - AA,1,40,14,14,1E-12,N,,
S,3,3,3:North - Hisp,1,40,14,14,1E-12,N,,
S,4,4,4:WS - lo,1,40,14,14,1E-12,N,,
S,5,5,5:WS - AA,1,40,14,14,1E-12,N,,
S,6,6,6:WS - Hisp,1,40,14,14,1E-12,N,,
S,7,7,7:RM - lo,1,40,14,14,1E-12,N,,
S,8,8,8:RM - AA,1,40,14,14,1E-12,N,,
S,9,9,9:RM - Hisp,1,40,14,14,1E-12,N,,
S,10,10,10:D - lo,1,40,14,14,1E-12,N,,
S,11,11,11:D - AA,1,40,14,14,1E-12,N,,
S,12,12,12:D - Hisp,1,40,14,14,1E-12,N,,
SES_CAT,1,1,1:Low SES,1,40,12,12,1E-12,N,,
SES_CAT,2,2,2:Medium SES,1,40,12,12,1E-12,N,,
SES_CAT,3,3,3:High SES,1,40,12,12,1E-12,N,,
SLEEPCAT,1,1,1: < 6 hours (short sleep),1,40,29,29,1E-12,N,,
SLEEPCAT,2,2,2: 6-9 hours (adequate sleep),1,40,29,29,1E-12,N,,
SLEEPCAT,3,3,3: > 9 hours (long sleep),1,40,29,29,1E-12,N,,
SLEEPF,1,1,1: <=6 hours,1,40,12,12,1E-12,N,,
SLEEPF,2,2,2: 7-8,1,40,12,12,1E-12,N,,
SLEEPF,3,3,3: >=8,1,40,12,12,1E-12,N,,
SMK,1,1,none,1,40,8,8,1E-12,N,,
SMK,2,2,former,1,40,8,8,1E-12,N,,
SMK,3,3,current,1,40,8,8,1E-12,N,,
SMOKERF,1,1,1: Never smoker,1,40,16,16,1E-12,N,,
SMOKERF,2,2,2: Former smoker,1,40,16,16,1E-12,N,,
SMOKERF,3,3,3: Never smoker,1,40,16,16,1E-12,N,,
SMOKF,1,1,1: Non-smoker,1,40,17,17,1E-12,N,,
SMOKF,2,2,2: Former smoker,1,40,17,17,1E-12,N,,
SMOKF,3,3,3: Current smoker,1,40,17,17,1E-12,N,,
SNOREFM,0,0,0: not loud at all,1,40,39,39,1E-12,N,,
SNOREFM,1,1,1: Slightly louder than breathing,1,40,39,39,1E-12,N,,
SNOREFM,2,2,2: As loud as talking,1,40,39,39,1E-12,N,,
SNOREFM,3,3,3: Louder than talking,1,40,39,39,1E-12,N,,
SNOREFM,4,4,"4: Very loud, can be heard in next room",1,40,39,39,1E-12,N,,
STOFCP,1,1,1:Inadequate,1,40,12,12,1E-12,N,,
STOFCP,2,2,2:Minimal,1,40,12,12,1E-12,N,,
STOFCP,3,3,3:Adequate,1,40,12,12,1E-12,N,,
STOFHLA,0,0,0: Inadequate,1,40,13,13,1E-12,N,,
STOFHLA,1,1,1: Marginal,1,40,13,13,1E-12,N,,
STOFHLA,2,2,2: Adequate,1,40,13,13,1E-12,N,,
TIMEFM,0,0,0: never,1,40,26,26,1E-12,N,,
TIMEFM,1,1,1: Less than 1 hour,1,40,26,26,1E-12,N,,
TIMEFM,2,2,2: 1 but less than 2 hours,1,40,26,26,1E-12,N,,
TIMEFM,3,3,3: 2-4 hours,1,40,26,26,1E-12,N,,
TIMEFM,4,4,4: More than 4 hours,1,40,26,26,1E-12,N,,
TMHCP3CATF,1,1,1: 0-1 times,1,40,12,12,1E-12,N,,
TMHCP3CATF,2,2,2: 2-6 times,1,40,12,12,1E-12,N,,
TMHCP3CATF,3,3,3: 7+ times,1,40,12,12,1E-12,N,,
TMHCPCATF,1,1,1: 0-1 times,1,40,13,13,1E-12,N,,
TMHCPCATF,2,2,2: 2-6 times,1,40,13,13,1E-12,N,,
TMHCPCATF,3,3,3: 7-12 times,1,40,13,13,1E-12,N,,
TMHCPCATF,4,4,4: 13+ times,1,40,13,13,1E-12,N,,
UNCONT,0,0,0: Under Control,1,40,17,17,1E-12,N,,
UNCONT,1,1,1: 7 <= HbA1c < 9,1,40,17,17,1E-12,N,,
UNCONT,2,2,2: HbA1c >= 9,1,40,17,17,1E-12,N,,
UNDIAG,1,1,1: Undiagnosed Diabetes,1,40,23,23,1E-12,N,,
UNDIAG,2,2,2: No Diabetes,1,40,23,23,1E-12,N,,
UNDIAG,3,3,3: Diagnosed Diabetes,1,40,23,23,1E-12,N,,
USYEAR_CAT,1,1,1:<5,1,40,7,7,1E-12,N,,
USYEAR_CAT,2,2,2:5-10,1,40,7,7,1E-12,N,,
USYEAR_CAT,3,3,3:10-15,1,40,7,7,1E-12,N,,
USYEAR_CAT,4,4,4:15-20,1,40,7,7,1E-12,N,,
USYEAR_CAT,5,5,5:>20,1,40,7,7,1E-12,N,,
X1000F,.,.Z,XSPECF5.,1,40,32,32,1E-12,N,F,
X1000F,LOW,0,XSPECF5.,1,40,32,32,1E-12,N,LF,
X1000F,1,1,1: Working for pay,1,40,32,32,1E-12,N,,
X1000F,2,2,2: Unemployed/looking for work,1,40,32,32,1E-12,N,,
X1000F,3,3,"3: Temporarily laid off, sick/ot",1,40,32,32,1E-12,N,,
X1000F,4,4,4: Disabled,1,40,32,32,1E-12,N,,
X1000F,5,5,5: Retired,1,40,32,32,1E-12,N,,
X1000F,6,6,6: Homemaker,1,40,32,32,1E-12,N,,
X1000F,7,7,7: Full time student,1,40,32,32,1E-12,N,,
X1000F,99,99,99: Other,1,40,32,32,1E-12,N,,
X1001F,.,.Z,XSPECF5.,1,40,15,15,1E-12,N,F,
X1001F,LOW,0,XSPECF5.,1,40,15,15,1E-12,N,LF,
X1001F,1,1,"1: Yes, current",1,40,15,15,1E-12,N,,
X1001F,2,2,"2: Yes, past",1,40,15,15,1E-12,N,,
X1001F,3,3,3: No,1,40,15,15,1E-12,N,,
X1002F,.,.Z,XSPECF5.,1,40,25,25,1E-12,N,F,
X1002F,LOW,0,XSPECF5.,1,40,25,25,1E-12,N,LF,
X1002F,1,1,"1: Yes, limited a lot",1,40,25,25,1E-12,N,,
X1002F,2,2,"2: Yes, limited a little",1,40,25,25,1E-12,N,,
X1002F,3,3,"3: No, not limited at all",1,40,25,25,1E-12,N,,
X1003F,.,.Z,XSPECF5.,1,40,15,15,1E-12,N,F,
X1003F,LOW,0,XSPECF5.,1,40,15,15,1E-12,N,LF,
X1003F,1,1,"1: Yes, past",1,40,15,15,1E-12,N,,
X1003F,2,2,"2: Yes, current",1,40,15,15,1E-12,N,,
X1003F,3,3,3: No,1,40,15,15,1E-12,N,,
X1004F,.,.Z,XSPECF5.,1,40,31,31,1E-12,N,F,
X1004F,LOW,0,XSPECF5.,1,40,31,31,1E-12,N,LF,
X1004F,1,1,"1: Yes, shortly before a period",1,40,31,31,1E-12,N,,
X1004F,2,2,"2: Yes, shortfly after a period",1,40,31,31,1E-12,N,,
X1004F,3,3,"3: Yes, at mid-cycle",1,40,31,31,1E-12,N,,
X1004F,4,4,"4: Yes, during a period",1,40,31,31,1E-12,N,,
X1004F,5,5,"5: Or not, not at the same time",1,40,31,31,1E-12,N,,
X1005F,.,.Z,XSPECF5.,1,40,8,8,1E-12,N,F,
X1005F,LOW,0,XSPECF5.,1,40,8,8,1E-12,N,LF,
X1005F,1,1,1: Yes,1,40,8,8,1E-12,N,,
X1005F,2,2,2: No,1,40,8,8,1E-12,N,,
X1006F,.,.Z,XSPECF5.,1,40,8,8,1E-12,N,SF,
X1006F,LOW,0,XSPECF5.,1,40,8,8,1E-12,N,SLF,
X1006F,-8,-8,-8: DK,1,40,8,8,1E-12,N,S,
X1006F,1,1,1: Yes,1,40,8,8,1E-12,N,S,
X1006F,2,2,2: No,1,40,8,8,1E-12,N,S,
X1007F,.,.Z,XSPECF5.,1,40,15,15,1E-12,N,F,
X1007F,LOW,0,XSPECF5.,1,40,15,15,1E-12,N,LF,
X1007F,1,1,1: Yes,1,40,15,15,1E-12,N,,
X1007F,2,2,2: No,1,40,15,15,1E-12,N,,
X1007F,3,3,3: Wrong number,1,40,15,15,1E-12,N,,
X1008F,.,.Z,XSPECF5.,1,40,16,16,1E-12,N,F,
X1008F,LOW,0,XSPECF5.,1,40,16,16,1E-12,N,LF,
X1008F,1,1,1: Your employer,1,40,16,16,1E-12,N,,
X1008F,2,2,2: Medicaid,1,40,16,16,1E-12,N,,
X1008F,3,3,3: Medicare,1,40,16,16,1E-12,N,,
X1008F,4,4,4: Yourself,1,40,16,16,1E-12,N,,
X1009F,.,.Z,XSPECF5.,1,40,32,32,1E-12,N,F,
X1009F,LOW,0,XSPECF5.,1,40,32,32,1E-12,N,LF,
X1009F,1,1,1: Very High Confidence,1,40,32,32,1E-12,N,,
X1009F,2,2,2: High Confidence,1,40,32,32,1E-12,N,,
X1009F,3,3,3: Moderate Confidence,1,40,32,32,1E-12,N,,
X1009F,4,4,4: Low Confidence,1,40,32,32,1E-12,N,,
X1009F,5,5,5: Very Low Confidence or no con,1,40,32,32,1E-12,N,,
X1009F,6,6,6: No sexual activity,1,40,32,32,1E-12,N,,
X100F,.,.Z,XSPECF5.,1,40,23,23,1E-12,N,F,
X100F,LOW,0,XSPECF5.,1,40,23,23,1E-12,N,LF,
X100F,1,1,1:  35 hrs or more/wk,1,40,23,23,1E-12,N,,
X100F,2,2,2:  Less than 35 hrs/wk,1,40,23,23,1E-12,N,,
X1010F,.,.Z,XSPECF5.,1,40,28,28,1E-12,N,F,
X1010F,LOW,0,XSPECF5.,1,40,28,28,1E-12,N,LF,
X1010F,1,1,1: Very High Confidence,1,40,28,28,1E-12,N,,
X1010F,2,2,2: High Confidence,1,40,28,28,1E-12,N,,
X1010F,3,3,3: Moderate Confidence,1,40,28,28,1E-12,N,,
X1010F,4,4,4: Low Confidence,1,40,28,28,1E-12,N,,
X1010F,5,5,5: Very Low or No Confidence,1,40,28,28,1E-12,N,,
X1011F,.,.Z,XSPECF5.,1,40,8,8,1E-12,N,F,
X1011F,LOW,0,XSPECF5.,1,40,8,8,1E-12,N,LF,
X1012F,.,.Z,XSPECF5.,1,40,8,8,1E-12,N,F,
X1012F,LOW,0,XSPECF5.,1,40,8,8,1E-12,N,LF,
X1013F,.,.Z,XSPECF5.,1,40,32,32,1E-12,N,SF,
X1013F,LOW,0,XSPECF5.,1,40,32,32,1E-12,N,SLF,
X1013F,0,0,0: Did not attempt vaginal penet,1,40,32,32,1E-12,N,S,
X1013F,1,1,1: Almost always or always,1,40,32,32,1E-12,N,S,
X1013F,2,2,2: Most times,1,40,32,32,1E-12,N,S,
X1013F,3,3,3: Sometimes,1,40,32,32,1E-12,N,S,
X1013F,4,4,4: A few times,1,40,32,32,1E-12,N,S,
X1013F,5,5,5: Almost never or never,1,40,32,32,1E-12,N,S,
X1014F,.,.Z,XSPECF5.,1,40,32,32,1E-12,N,SF,
X1014F,LOW,0,XSPECF5.,1,40,32,32,1E-12,N,SLF,
X1014F,0,0,0: Did not attempt vaginal penet,1,40,32,32,1E-12,N,S,
X1014F,1,1,1: Very high,1,40,32,32,1E-12,N,S,
X1014F,2,2,2: Most times,1,40,32,32,1E-12,N,S,
X1014F,3,3,3: Sometimes,1,40,32,32,1E-12,N,S,
X1014F,4,4,4: A few times,1,40,32,32,1E-12,N,S,
X1014F,5,5,5: Almost never or never,1,40,32,32,1E-12,N,S,
X1015F,.,.Z,XSPECF5.,1,40,12,12,1E-12,N,SF,
X1015F,LOW,0,XSPECF5.,1,40,12,12,1E-12,N,SLF,
X1015F,0,0,0: Never,1,40,12,12,1E-12,N,S,
X1015F,1,1,1: Seldom,1,40,12,12,1E-12,N,S,
X1015F,2,2,2: Sometimes,1,40,12,12,1E-12,N,S,
X1015F,3,3,3: Often,1,40,12,12,1E-12,N,S,
X1016F,.,.Z,XSPECF5.,1,40,32,32,1E-12,N,SF,
X1016F,LOW,0,XSPECF5.,1,40,32,32,1E-12,N,SLF,
X1016F,0,0,0: Not currently experiencing pe,1,40,32,32,1E-12,N,S,
X1016F,1,1,1: 1 -2,1,40,32,32,1E-12,N,S,
X1016F,2,2,2:  3 - 5,1,40,32,32,1E-12,N,S,
X1016F,3,3,3:  6 - 10,1,40,32,32,1E-12,N,S,
X1016F,4,4,4:  More than 10,1,40,32,32,1E-12,N,S,
X1017F,.,.Z,XSPECF5.,1,40,26,26,1E-12,N,F,
X1017F,LOW,0,XSPECF5.,1,40,26,26,1E-12,N,LF,
X1017F,1,1,1:  1 shot (1.5oz),1,40,26,26,1E-12,N,,
X1017F,2,2,2:  2-3 shots,1,40,26,26,1E-12,N,,
X1017F,3,3,3:  4-6 shots or a 1/2pint,1,40,26,26,1E-12,N,,
X1017F,4,4,4:  7-11 shots or a pint,1,40,26,26,1E-12,N,,
X1017F,5,5,5:  2 pints (32oz) or more,1,40,26,26,1E-12,N,,
X1018F,.,.Z,XSPECF5.,1,40,32,32,1E-12,N,F,
X1018F,LOW,0,XSPECF5.,1,40,32,32,1E-12,N,LF,
X1018F,1,1,1:  1-2 12oz serving(s),1,40,32,32,1E-12,N,,
X1018F,2,2,2:  3-5 12oz servings,1,40,32,32,1E-12,N,,
X1018F,3,3,3:  1-2 six packs (12oz bottles/,1,40,32,32,1E-12,N,,
X1018F,4,4,4:  2-3 six packs (12oz bottles/,1,40,32,32,1E-12,N,,
