FMTNAME,START,END,LABEL,LENGTH,TYPE,HLO
ICCAT1_1F,4,4,icsi_1 >= 12,17,N,
ICCATF,1,1,0 <= icsi <= 6,14,N,
ICCATF,2,2,6 < icsi <= 11,14,N,
ICCATF,3,3,icsi > 11,14,N,
ICCAT_1F,1,1,0 <= icsi_1 <= 6,16,N,
ICCAT_1F,2,2,6 < icsi_1 <= 11,16,N,
ICCAT_1F,3,3,icsi_1 > 11,16,N,
IIEF5CF,1,1,1: IIEF-5 5-7,15,N,
IIEF5CF,2,2,2: IIEF-5 8-11,15,N,
IIEF5CF,3,3,3: IIEF-5 12-16,15,N,
IIEF5CF,4,4,4: IIEF-5 17-21,15,N,
IIEF5CF,5,5,5: IIEF-5 22+,15,N,
INCCATF,1,1,"1: <=$60,000",17,N,
INCCATF,2,2,"2: $6,001-$30,000",17,N,
INCCATF,3,3,"3: >$30,000",17,N,
INCG,1,1,"1:<$20,000",19,N,
INCG,2,2,"2:$20,000 - $49,999",19,N,
INCG,3,3,"3:$50,000 - $69,999",19,N,
INCG,4,4,"4:>$70,000",19,N,
INCOME,1,1,"1:<$10,000",19,N,
INCOME,2,2,"2:$10,000 - $19,999",19,N,
INCOME,3,3,"3:$20,000 - $29,999",19,N,
INCOME,4,4,"4:$30,000 - $39,999",19,N,
INCOME,5,5,"5:$40,000 - $49,999",19,N,
INCOME,6,6,"6:$50,000 - $59,999",19,N,
INCOME,7,7,"7:$60,000 - $69,999",19,N,
INCOME,8,8,"8:>$70,000",19,N,
INCOMEHF_II,1,1,"1: Less than $5,000",20,N,
INCOMEHF_II,2,2,"2: $5,000-$9,999",20,N,
INCOMEHF_II,3,3,"3: $10,000-$19,999",20,N,
INCOMEHF_II,4,4,"4: $20,000-$29,999",20,N,
INCOMEHF_II,5,5,"5: $30,000-$39,999",20,N,
INCOMEHF_II,6,6,"6: $40,000-$49,999",20,N,
INCOMEHF_II,7,7,"7: $50,000-$59,999",20,N,
INCOMEHF_II,8,8,"8: $60,000-$69,999",20,N,
INCOMEHF_II,9,9,"9: $70,000-$79,999",20,N,
INCOMEHF_II,10,10,"10: $80,000-$89,999",20,N,
INCOMEHF_II,11,11,"11: $90,000-$99,999",20,N,
INCOMEHF_II,12,12,"12: $100,000 or more",20,N,
INCOMEIII,1,1,"1:<$30,000",21,N,
INCOMEIII,2,2,"2:$30,000 - $59,999",21,N,
INCOMEIII,3,3,"3:>=$60,000 - $59,999",21,N,
INCOME_1F_II,1,1,"1: Less than $5,000",21,N,
INCOME_1F_II,2,2,"2: $5,000-$9,999",21,N,
INCOME_1F_II,3,3,"3: $10,000-$19,999",21,N,
INCOME_1F_II,4,4,"4: $20,000-$29,999",21,N,
INCOME_1F_II,5,5,"5: $30,000-$39,999",21,N,
INCOME_1F_II,6,6,"6: $40,000-$49,999",21,N,
INCOME_1F_II,7,7,"7: $50,000-$59,999",21,N,
INCOME_1F_II,8,8,"8: $60,000-$69,999",21,N,
INCOME_1F_II,9,9,"9: $70,000-$79,999",21,N,
INCOME_1F_II,10,10,"10: $80,000-$89,999",21,N,
INCOME_1F_II,11,11,"11: $90,000-$99,999",21,N,
INCOME_1F_II,12,12,"12: $100,000-$109,999",21,N,
INCOME_1F_II,13,13,"13: $110,000-$119,999",21,N,
INCOME_1F_II,14,14,"14: $120,000 or more",21,N,
INCRECAT,1,1,"1: < $20,000",20,N,
INCRECAT,2,2,"2: $20,000 - $49,999",20,N,
INCRECAT,3,3,"$50,000+",20,N,
INC_Q,1,1,"1:<$10,000",19,N,
INC_Q,2,2,"2:$10,000 - $29,999",19,N,
INC_Q,3,3,"3:$30,000 - $59,999",19,N,
INC_Q,4,4,"4:>$60,000",19,N,
INJF,1,1,1: No injuries,28,N,
INJF,2,2,2: Minor injuries,28,N,
INJF,3,3,3: Serious physical injuries,28,N,
INS,1,1,Private,7,N,
INS,2,2,Public,7,N,
INS,3,3,None,7,N,
INSCAT,1,1,1: Private insurance only,25,N,
INSCAT,2,2,2: Public insurance,25,N,
INSCAT,3,3,3: Other,25,N,
INSCAT3F,1,1,1: Any private,14,N,
INSCAT3F,2,2,2: Public only,14,N,
INSCAT3F,3,3,3: None,14,N,
INSCAT4F,1,1,1: Private only,21,N,
INSCAT4F,2,2,2: Private and public,21,N,
INSCAT4F,3,3,3: Public only,21,N,
INSCAT4F,4,4,4: None,21,N,
INSCATF,1,1,1: Insured both times,23,N,
INSCATF,2,2,2: Gained insurance,23,N,
INSCATF,3,3,3: Lost insurance,23,N,
INSCATF,4,4,4: Uninsured both times,23,N,
INSTWO,1,1,No insurance,27,N,
INSTWO,2,2,Public or private insurance,27,N,
INS_4CAT,1,1,1:Private only,20,N,
INS_4CAT,2,2,2:Private and public,20,N,
INS_4CAT,3,3,3:Public only,20,N,
INS_4CAT,4,4,4:None,20,N,
INTCONF,0,0,0: No internet connection,25,N,
INTCONF,1,1,1: Dial-up,25,N,
INTCONF,2,2,2: Fiber Optic,25,N,
INTCONF,3,3,3: DSL,25,N,
INTCONF,4,4,4: Cable,25,N,
INTCONF,5,5,5: Satellite Wireless,25,N,
INTCONF,6,6,6: Other,25,N,
INTSRFQF,0,0,0: Never,23,N,
INTSRFQF,1,1,1: About once a week,23,N,
INTSRFQF,2,2,2: About once a month,23,N,
INTSRFQF,3,3,3: Several times a year,23,N,
LMHF,1,1,1: Low,9,N,
LMHF,2,2,2: Middle,9,N,
LMHF,3,3,3: High,9,N,
MEDSIX,1,1,1: biguanides only,22,N,
MEDSIX,2,2,2: insulin only,22,N,
MEDSIX,3,3,3: biguanide & insulin,22,N,
MEDSIX,4,4,4: biguanide & sulfon,22,N,
MEDSIX,5,5,5: other DM med,22,N,
MEDSIX,6,6,6: not on DM med,22,N,
MENO,1,1,1: Pre/Peri-menopause,21,N,
MENO,2,2,2: Post-menopause,21,N,
MENO,3,3,3: Other,21,N,
MENOF,1,1,1: Pre-menopausal,18,N,
MENOF,2,2,2: Peri-menopausal,18,N,
MENOF,3,3,3: Post-menopausal,18,N,
MENOF,4,4,4: Surgical,18,N,
MENOF,5,5,5: Hormones,18,N,
MENOSTAT,1,1,Pre,12,N,
MENOSTAT,2,2,Peri,12,N,
MENOSTAT,3,3,Post,12,N,
MENOSTAT,4,4,Undetermined,12,N,
MENOSTAT,5,5,Surgical,12,N,
MENOSTAT,6,6,Hormones,12,N,
NUTR3F,1,1,1: 0,5,N,
NUTR3F,2,2,2: 1,5,N,
NUTR3F,3,3,3: 2+,5,N,
NUTRF,1,1,1: 0,4,N,
NUTRF,2,2,2: 1,4,N,
NUTRF,3,3,3: 2,4,N,
NUTRF,4,4,4: 3,4,N,
OCCU,1,1,"1: Management, Professional, and Related Occupations",84,N,
OCCU,2,2,2: Service Occupations,84,N,
OCCU,3,3,3: Sales and Office Occupations,84,N,
OCCU,4,4,"4: Manual labor, construction, maintenance, farming, production, transportation, etc",84,N,
OCCU,5,5,5: Never worked,84,N,
OCCU,9,9,9: Missing,84,N,
OCCUGRP,1,1,"1: Management, Professional, and Related Occupations",64,N,
OCCUGRP,2,2,2: Service Occupations,64,N,
OCCUGRP,3,3,3: Sales and Office Occupations,64,N,
OCCUGRP,4,4,"4: Farming, Fishing, and Forestry Occupations",64,N,
OCCUGRP,5,5,"5: Construction, Extraction, Maintenance, and Repair Occupations",64,N,
OCCUGRP,6,6,"6: Production, Transportation, and Material Moving Occupations",64,N,
OCCUGRP,7,7,7: Never worked,64,N,
OCCUGRP,9,9,9: Missing,64,N,
OCCUGRPF,1,1,"1: Management, Professional, and Related Occupations",52,N,
OCCUGRPF,2,2,2: Service Occupations,52,N,
OCCUGRPF,3,3,3: Sales and Office Occupations,52,N,
OCCUGRPF,4,4,"4,5,6: Farming, Construction, Production combined",52,N,
OCCUGRPF,7,7,7: Never worked,52,N,
OCCUGRPF,9,9,9: Missing,52,N,
OCCURECAT,1,1,"1: Management, Professional, Sales and Office Occupations",84,N,
OCCURECAT,2,2,2: Service Occupations,84,N,
OCCURECAT,3,3,"3: Manual labor, construction, maintenance, farming, production, transportation, etc",84,N,
OCCURECAT,4,4,4: Never worked,84,N,
PAINBLADF,0,0,0: No pain or discomfort,34,N,
PAINBLADF,10,10,10: Pain as bad as you can imagine,34,N,
PHYSIFM,0,0,0: no physical activity,84,N,
PHYSIFM,1,1,1: Mainly sitting with slight arm movement,84,N,
PHYSIFM,2,2,2: Sitting or standing with some walking,84,N,
PHYSIFM,3,3,"3: Walking, with some handling of materials weighing <50lb",84,N,
PHYSIFM,4,4,4: Walking + heavy manual work often requiring handling of materials weighing >50lbs,84,N,
POVF,1,1,1: In poverty,17,N,
POVF,2,2,2: Not in poverty,17,N,
POVF,3,3,3: Undetermined,17,N,
RACE,1,1,White,8,N,
RACE,2,2,Black,8,N,
RACE,3,3,Hispanic,8,N,
RE,1,1,Black,8,N,
RE,2,2,Hispanic,8,N,
RE,3,3,White,8,N,
RENUM,1,1,1: Black,11,N,
RENUM,2,2,2: Hispanic,11,N,
RENUM,3,3,3: White,11,N,
RENUMF,1,1,1: Black,11,N,
RENUMF,2,2,2: Hispanic,11,N,
RENUMF,3,3,3: White,11,N,
S,1,1,1:North - lo,14,N,
S,2,2,2:North - AA,14,N,
S,3,3,3:North - Hisp,14,N,
S,4,4,4:WS - lo,14,N,
S,5,5,5:WS - AA,14,N,
S,6,6,6:WS - Hisp,14,N,
S,7,7,7:RM - lo,14,N,
S,8,8,8:RM - AA,14,N,
S,9,9,9:RM - Hisp,14,N,
S,10,10,10:D - lo,14,N,
S,11,11,11:D - AA,14,N,
S,12,12,12:D - Hisp,14,N,
SESNECAT,1,1,Low,6,N,
SESNECAT,2,2,Medium,6,N,
SESNECAT,3,3,High,6,N,
SES_CAT,1,1,1:Low SES,12,N,
SES_CAT,2,2,2:Medium SES,12,N,
SES_CAT,3,3,3:High SES,12,N,
SFTWO,1,1,Fair/Poor,24,N,
SFTWO,2,2,Good/Very Good/Excellent,24,N,
SLEEPCAT,1,1,1: < 6 hours (short sleep),29,N,
SLEEPCAT,2,2,2: 6-9 hours (adequate sleep),29,N,
SLEEPCAT,3,3,3: > 9 hours (long sleep),29,N,
SLEEPF,1,1,1: <=6 hours,12,N,
SLEEPF,2,2,2: 7-8,12,N,
SLEEPF,3,3,3: >=8,12,N,
SLEEPINTER,0,0,0.none/little of the time,27,N,
SLEEPINTER,1,1,1.most/all/some of the time,27,N,
SMOKE,1,1,Never,7,N,
SMOKE,2,2,Former,7,N,
SMOKE,3,3,Current,7,N,
SMOKERF,1,1,1: Never smoker,16,N,
SMOKERF,2,2,2: Former smoker,16,N,
SMOKERF,3,3,3: Never smoker,16,N,
SMOKF,1,1,1: Non-smoker,17,N,
SMOKF,2,2,2: Former smoker,17,N,
SMOKF,3,3,3: Current smoker,17,N,
SNOREFM,0,0,0: not loud at all,39,N,
SNOREFM,1,1,1: Slightly louder than breathing,39,N,
SNOREFM,2,2,2: As loud as talking,39,N,
SNOREFM,3,3,3: Louder than talking,39,N,
SNOREFM,4,4,"4: Very loud, can be heard in next room",39,N,
SPOLYHTCA,0,0,0,2,N,
SPOLYHTCA,1,1,1,2,N,
SPOLYHTCA,2,2,2,2,N,
SPOLYHTCA,3,3,3+,2,N,
STATSTAT,1,1,Treated w/statins,17,N,
STATSTAT,2,2,Untreated,17,N,
STATSTAT,3,3,No Dyslipidemia,17,N,
STOFCP,1,1,1:Inadequate,12,N,
STOFCP,2,2,2:Minimal,12,N,
STOFCP,3,3,3:Adequate,12,N,
STOFHLA,0,0,0: Inadequate,13,N,
STOFHLA,1,1,1: Marginal,13,N,
STOFHLA,2,2,2: Adequate,13,N,
SUEAGE,1,1,<55,3,N,
SUEAGE,2,2,55+,3,N,
S_II,1,1,1:North - lo,14,N,
S_II,2,2,2:North - AA,14,N,
S_II,3,3,3:North - Hisp,14,N,
S_II,4,4,4:WS - lo,14,N,
S_II,5,5,5:WS - AA,14,N,
S_II,6,6,6:WS - Hisp,14,N,
S_II,7,7,7:RM - lo,14,N,
S_II,8,8,8:RM - AA,14,N,
S_II,9,9,9:RM - Hisp,14,N,
S_II,10,10,10:D - lo,14,N,
S_II,11,11,11:D - AA,14,N,
S_II,12,12,12:D - Hisp,14,N,
TIMEFM,0,0,0: never,26,N,
TIMEFM,1,1,1: Less than 1 hour,26,N,
TIMEFM,2,2,2: 1 but less than 2 hours,26,N,
TIMEFM,3,3,3: 2-4 hours,26,N,
TIMEFM,4,4,4: More than 4 hours,26,N,
TMHCP3CATF,1,1,1: 0-1 times,12,N,
TMHCP3CATF,2,2,2: 2-6 times,12,N,
TMHCP3CATF,3,3,3: 7+ times,12,N,
TMHCPCATF,1,1,1: 0-1 times,13,N,
TMHCPCATF,2,2,2: 2-6 times,13,N,
TMHCPCATF,3,3,3: 7-12 times,13,N,
TMHCPCATF,4,4,4: 13+ times,13,N,
UNCONT,0,0,0: Under Control,17,N,
UNCONT,1,1,1: 7 <= HbA1c < 9,17,N,
UNCONT,2,2,2: HbA1c >= 9,17,N,
UNDIAG,1,1,1: Undiagnosed Diabetes,23,N,
UNDIAG,2,2,2: No Diabetes,23,N,
UNDIAG,3,3,3: Diagnosed Diabetes,23,N,
UNINSCATF,1,1,"1: No insurance, not even workcomp",54,N,
UNINSCATF,2,2,"2: Some insurance, but trouble paying for healthcare",54,N,
UNINSCATF,3,3,3: Some insurance and no trouble paying for healthcare,54,N,
USEV3F,1,1,1: Mild (1-2),17,N,
USEV3F,2,2,2: Moderate (3-4),17,N,
USEV3F,3,3,3: Severe (5+),17,N,
USEV4F,1,1,1: None,17,N,
USEV4F,2,2,2: Mild (1-2),17,N,
USEV4F,3,3,3: Moderate (3-4),17,N,
USEV4F,4,4,4: Severe (5+),17,N,
USYEAR_CAT,1,1,1:<5,7,N,
USYEAR_CAT,2,2,2:5-10,7,N,
USYEAR_CAT,3,3,3:10-15,7,N,
USYEAR_CAT,4,4,4:15-20,7,N,
USYEAR_CAT,5,5,5:>20,7,N,
UTHLCHOL,1,1,Untreated high LDL chol,23,N,
UTHLCHOL,2,2,Other,23,N,
WHOSXAD_II,1,1,1: Have never had sex,27,N,
WHOSXAD_II,2,2,2: Only with opposite sex,27,N,
WHOSXAD_II,3,3,3: Mostly with opposite sex,27,N,
WHOSXAD_II,4,4,4: Both women and men,27,N,
WHOSXAD_II,5,5,5: Mostly with same sex,27,N,
WHOSXAD_II,6,6,6: Only with same sex,27,N,
X1000F,.,.Z,XSPECF5.,22,N,F
X1000F,LOW,0,XSPECF5.,22,N,LF
X1000F,1,1,1: Stongly disagree,22,N,
X1000F,2,2,2: Moderately disagree,22,N,
X1000F,3,3,3: Slightly disagree,22,N,
X1000F,4,4,4: Slightly agree,22,N,
X1000F,5,5,5: Moderately agree,22,N,
X1000F,6,6,6: Strongly agree,22,N,
X1001F,.,.Z,XSPECF5.,28,N,F
X1001F,LOW,0,XSPECF5.,28,N,LF
X1001F,1,1,1: Stop,28,N,
X1001F,2,2,2: Slow down,28,N,
X1001F,3,3,3: Continue at the same pace,28,N,
X1002F,.,.Z,XSPECF5.,31,N,F
X1002F,LOW,0,XSPECF5.,31,N,LF
X1002F,1,1,1: Stop,31,N,
X1002F,2,2,2: Slow down,31,N,
X1002F,3,3,3: Or continue at the same pace,31,N,
X1003F,.,.Z,XSPECF5.,32,N,F
X1003F,LOW,0,XSPECF5.,32,N,LF
X1003F,1,1,1: Subject's Death,32,N,
X1003F,2,2,2: Subject's Decision To Withdra,32,N,
X1003F,3,3,3: NERI Decision To Deactivate S,32,N,
X1003F,4,4,4: Family Refuses Access,32,N,
X1004F,.,.Z,XSPECF5.,32,N,F
X1004F,LOW,0,XSPECF5.,32,N,LF
X1004F,1,1,1: Temporarily unavailable,32,N,
X1004F,2,2,2: Unavailable for 3 months or m,32,N,
X1004F,3,3,3: No longer a resident of this,32,N,
X1005F,.,.Z,XSPECF5.,32,N,F
X1005F,LOW,0,XSPECF5.,32,N,LF
X1005F,1,1,1: Temporarily unavailable,32,N,
X1005F,2,2,2: Unavailable for 3 months or m,32,N,
X1005F,3,3,3: No longer a resident of this,32,N,
X1005F,99,99,99: Other,32,N,
X1006F,.,.Z,XSPECF5.,32,N,F
X1006F,LOW,0,XSPECF5.,32,N,LF
X1006F,1,1,1: Today (After midnight last ni,32,N,
X1006F,2,2,2: Yesterday (Before midnight la,32,N,
X1006F,3,3,3: The day before yesterday,32,N,
X1007F,.,.Z,XSPECF5.,27,N,F
X1007F,LOW,0,XSPECF5.,27,N,LF
X1007F,1,1,1: Today,27,N,
X1007F,2,2,2: Yesterday,27,N,
X1007F,3,3,3: The day before yesterday,27,N,
X1008F,.,.Z,XSPECF5.,12,N,F
X1008F,LOW,0,XSPECF5.,12,N,LF
X1008F,1,1,1: Vaginal,12,N,
X1008F,2,2,2: C-section,12,N,
X1008F,3,3,3: Both,12,N,
X1009F,.,.Z,XSPECF5.,32,N,F
X1009F,LOW,0,XSPECF5.,32,N,LF
