FMTNAME,START,END,LABEL,LENGTH,TYPE,HLO
FAT1F,0,0,0: Not weak at all,18,N,
FAT1F,10,10,10: Very weak,18,N,
FAT2F,0,0,0: Not sleepy at all,20,N,
FAT2F,10,10,10: Very sleepy,20,N,
FAT3F,0,0,0: Not lively at all,20,N,
FAT3F,10,10,10: Very lively,20,N,
FAT4F,0,0,0: Not tired at all,19,N,
FAT4F,10,10,10: Very tired,19,N,
FAT5F,0,0,0: No energy,18,N,
FAT5F,10,10,10: Very energetic,18,N,
FRSCAT,1,1,<0.075,14,N,
FRSCAT,2,2,0.075 to <0.15,14,N,
FRSCAT,3,3,>=0.15,14,N,
FRSCATR,1,1,<0.10,13,N,
FRSCATR,2,2,0.10 to <0.20,13,N,
FRSCATR,3,3,>=0.20,13,N,
HISPOR2F_II,1,1,1:Puerto Rican,20,N,
HISPOR2F_II,2,2,2:Central American,20,N,
HISPOR2F_II,3,3,3:South American,20,N,
HISPOR2F_II,4,4,4:Dominican Republic,20,N,
HISPOR2F_II,5,5,5:All others,20,N,
HISPORGF_II,1,1,1:Mexican,20,N,
HISPORGF_II,2,2,2:Puerto Rican,20,N,
HISPORGF_II,3,3,3:Cuban,20,N,
HISPORGF_II,4,4,4:Spanish,20,N,
HISPORGF_II,5,5,5:Central American,20,N,
HISPORGF_II,6,6,6:South American,20,N,
HISPORGF_II,7,7,7:Dominican Republic,20,N,
HISPORGF_II,8,8,8:Other,20,N,
HISPORGF_II,9,9,9:Two or more,20,N,
HLDLM,1,1,High (160+) LDL Cholest,23,N,
HLDLM,2,2,LDL Chol <160,23,N,
ICCAT1F,1,1,0 <= icsi <= 3,15,N,
ICCAT1F,2,2,4 <= icsi <= 6,15,N,
ICCAT1F,3,3,7 <= icsi <= 11,15,N,
ICCAT1F,4,4,icsi >= 12,15,N,
ICCAT1_1F,1,1,0 <= icsi_1 <= 3,17,N,
ICCAT1_1F,2,2,4 <= icsi_1 <= 6,17,N,
ICCAT1_1F,3,3,7 <= icsi_1 <= 11,17,N,
ICCAT1_1F,4,4,icsi_1 >= 12,17,N,
ICCATF,1,1,0 <= icsi <= 6,14,N,
ICCATF,2,2,6 < icsi <= 11,14,N,
ICCATF,3,3,icsi > 11,14,N,
ICCAT_1F,1,1,0 <= icsi_1 <= 6,16,N,
ICCAT_1F,2,2,6 < icsi_1 <= 11,16,N,
ICCAT_1F,3,3,icsi_1 > 11,16,N,
IIEF5CF,1,1,1: IIEF-5 5-7,15,N,
IIEF5CF,2,2,2: IIEF-5 8-11,15,N,
IIEF5CF,3,3,3: IIEF-5 12-16,15,N,
IIEF5CF,4,4,4: IIEF-5 17-21,15,N,
IIEF5CF,5,5,5: IIEF-5 22+,15,N,
INCOMEHF_II,1,1,"1: Less than $5,000",20,N,
INCOMEHF_II,2,2,"2: $5,000-$9,999",20,N,
INCOMEHF_II,3,3,"3: $10,000-$19,999",20,N,
INCOMEHF_II,4,4,"4: $20,000-$29,999",20,N,
INCOMEHF_II,5,5,"5: $30,000-$39,999",20,N,
INCOMEHF_II,6,6,"6: $40,000-$49,999",20,N,
INCOMEHF_II,7,7,"7: $50,000-$59,999",20,N,
INCOMEHF_II,8,8,"8: $60,000-$69,999",20,N,
INCOMEHF_II,9,9,"9: $70,000-$79,999",20,N,
INCOMEHF_II,10,10,"10: $80,000-$89,999",20,N,
INCOMEHF_II,11,11,"11: $90,000-$99,999",20,N,
INCOMEHF_II,12,12,"12: $100,000 or more",20,N,
INCOME_1F_II,1,1,"1: Less than $5,000",21,N,
INCOME_1F_II,2,2,"2: $5,000-$9,999",21,N,
INCOME_1F_II,3,3,"3: $10,000-$19,999",21,N,
INCOME_1F_II,4,4,"4: $20,000-$29,999",21,N,
INCOME_1F_II,5,5,"5: $30,000-$39,999",21,N,
INCOME_1F_II,6,6,"6: $40,000-$49,999",21,N,
INCOME_1F_II,7,7,"7: $50,000-$59,999",21,N,
INCOME_1F_II,8,8,"8: $60,000-$69,999",21,N,
INCOME_1F_II,9,9,"9: $70,000-$79,999",21,N,
INCOME_1F_II,10,10,"10: $80,000-$89,999",21,N,
INCOME_1F_II,11,11,"11: $90,000-$99,999",21,N,
INCOME_1F_II,12,12,"12: $100,000-$109,999",21,N,
INCOME_1F_II,13,13,"13: $110,000-$119,999",21,N,
INCOME_1F_II,14,14,"14: $120,000 or more",21,N,
INJF,1,1,1: No injuries,28,N,
INJF,2,2,2: Minor injuries,28,N,
INJF,3,3,3: Serious physical injuries,28,N,
INS,1,1,Private,7,N,
INS,2,2,Public,7,N,
INS,3,3,None,7,N,
INSCAT3F,1,1,1: Any private,14,N,
INSCAT3F,2,2,2: Public only,14,N,
INSCAT3F,3,3,3: None,14,N,
INSCAT4F,1,1,1: Private only,21,N,
INSCAT4F,2,2,2: Private and public,21,N,
INSCAT4F,3,3,3: Public only,21,N,
INSCAT4F,4,4,4: None,21,N,
INSCATF,1,1,1: Insured both times,23,N,
INSCATF,2,2,2: Gained insurance,23,N,
INSCATF,3,3,3: Lost insurance,23,N,
INSCATF,4,4,4: Uninsured both times,23,N,
INSTWO,1,1,No insurance,27,N,
INSTWO,2,2,Public or private insurance,27,N,
LMHF,1,1,1: Low,9,N,
LMHF,2,2,2: Middle,9,N,
LMHF,3,3,3: High,9,N,
MENO,1,1,1: Pre-menopause,21,N,
MENO,2,2,2: Peri-menopause,21,N,
MENO,3,3,3: Post-menopause,21,N,
MENO,4,4,4: Undetermined,21,N,
MENO,5,5,5: Surgical menopause,21,N,
MENO,6,6,6: Hormones,21,N,
MENOSTAT,1,1,Pre,12,N,
MENOSTAT,2,2,Peri,12,N,
MENOSTAT,3,3,Post,12,N,
MENOSTAT,4,4,Undetermined,12,N,
MENOSTAT,5,5,Surgical,12,N,
MENOSTAT,6,6,Hormones,12,N,
NUTR3F,1,1,1: 0,5,N,
NUTR3F,2,2,2: 1,5,N,
NUTR3F,3,3,3: 2+,5,N,
NUTRF,1,1,1: 0,4,N,
NUTRF,2,2,2: 1,4,N,
NUTRF,3,3,3: 2,4,N,
NUTRF,4,4,4: 3,4,N,
OCCUGRPF,1,1,"Management, Professional, and Related Occupations",61,N,
OCCUGRPF,2,2,Service Occupations,61,N,
OCCUGRPF,3,3,Sales and Office Occupations,61,N,
OCCUGRPF,4,4,"Farming, Fishing, and Forestry Occupations",61,N,
OCCUGRPF,5,5,"Construction, Extraction, Maintenance, and Repair Occupations",61,N,
OCCUGRPF,6,6,"Production, Transportation, and Material Moving Occupations",61,N,
OCCUGRPF,7,7,Never worked,61,N,
OCCUGRPF,9,9,Missing,61,N,
PAINBLADF,0,0,0: No pain or discomfort,34,N,
PAINBLADF,10,10,10: Pain as bad as you can imagine,34,N,
POVF,1,1,1: In poverty,17,N,
POVF,2,2,2: Not in poverty,17,N,
POVF,3,3,3: Undetermined,17,N,
RACE,1,1,White,8,N,
RACE,2,2,Black,8,N,
RACE,3,3,Hispanic,8,N,
RE,1,1,Black,8,N,
RE,2,2,Hispanic,8,N,
RE,3,3,White,8,N,
RENUMF,1,1,1: Black,11,N,
RENUMF,2,2,2: Hispanic,11,N,
RENUMF,3,3,3: White,11,N,
SESNECAT,1,1,Low,6,N,
SESNECAT,2,2,Medium,6,N,
SESNECAT,3,3,High,6,N,
SFTWO,1,1,Fair/Poor,24,N,
SFTWO,2,2,Good/Very Good/Excellent,24,N,
SLEEPINTER,0,0,0.none/little of the time,27,N,
SLEEPINTER,1,1,1.most/all/some of the time,27,N,
SMOKE,1,1,Never,7,N,
SMOKE,2,2,Former,7,N,
SMOKE,3,3,Current,7,N,
SMOKF,1,1,1: Non-smoker,17,N,
SMOKF,2,2,2: Former smoker,17,N,
SMOKF,3,3,3: Current smoker,17,N,
SPOLYHTCA,0,0,0,2,N,
SPOLYHTCA,1,1,1,2,N,
SPOLYHTCA,2,2,2,2,N,
SPOLYHTCA,3,3,3+,2,N,
STATSTAT,1,1,Treated w/statins,17,N,
STATSTAT,2,2,Untreated,17,N,
STATSTAT,3,3,No Dyslipidemia,17,N,
SUEAGE,1,1,<55,3,N,
SUEAGE,2,2,55+,3,N,
S_II,1,1,1:North - lo,14,N,
S_II,2,2,2:North - AA,14,N,
S_II,3,3,3:North - Hisp,14,N,
S_II,4,4,4:WS - lo,14,N,
S_II,5,5,5:WS - AA,14,N,
S_II,6,6,6:WS - Hisp,14,N,
S_II,7,7,7:RM - lo,14,N,
S_II,8,8,8:RM - AA,14,N,
S_II,9,9,9:RM - Hisp,14,N,
S_II,10,10,10:D - lo,14,N,
S_II,11,11,11:D - AA,14,N,
S_II,12,12,12:D - Hisp,14,N,
UNINSCATF,1,1,"1: No insurance, not even workcomp",54,N,
UNINSCATF,2,2,"2: Some insurance, but trouble paying for healthcare",54,N,
UNINSCATF,3,3,3: Some insurance and no trouble paying for healthcare,54,N,
USEV3F,1,1,1: Mild (1-2),17,N,
USEV3F,2,2,2: Moderate (3-4),17,N,
USEV3F,3,3,3: Severe (5+),17,N,
USEV4F,1,1,1: None,17,N,
USEV4F,2,2,2: Mild (1-2),17,N,
USEV4F,3,3,3: Moderate (3-4),17,N,
USEV4F,4,4,4: Severe (5+),17,N,
UTHLCHOL,1,1,Untreated high LDL chol,23,N,
UTHLCHOL,2,2,Other,23,N,
WHOSXAD_II,1,1,1: Have never had sex,27,N,
WHOSXAD_II,2,2,2: Only with opposite sex,27,N,
WHOSXAD_II,3,3,3: Mostly with opposite sex,27,N,
WHOSXAD_II,4,4,4: Both women and men,27,N,
WHOSXAD_II,5,5,5: Mostly with same sex,27,N,
WHOSXAD_II,6,6,6: Only with same sex,27,N,
X1471F_II,.,.Z,XSPECF_II40.,40,N,MF
X1471F_II,LOW,0,XSPECF_II40.,40,N,MLF
X1526F_II,.,.Z,XSPECF_II40.,40,N,MF
X1526F_II,LOW,0,XSPECF_II40.,40,N,MLF
X1526F_II,1,1,1: Almost always or always,40,N,M
X1526F_II,2,2,2: Most times (more than half th,40,N,M
X1526F_II,3,3,3: Sometimes (about half the tim,40,N,M
X1526F_II,4,4,4: A few times(less than half th,40,N,M
X1526F_II,5,5,5: Almost never or never,40,N,M
X1554F_II,.,.Z,XSPECF_II40.,40,N,MF
X1554F_II,LOW,0,XSPECF_II40.,40,N,MLF
X1554F_II,1,1,1: Extremely difficult or Imposs,40,N,M
X1554F_II,2,2,2: Very difficult,40,N,M
X1554F_II,3,3,3: Difficult,40,N,M
X1554F_II,4,4,4: Slightly difficult,40,N,M
X1554F_II,5,5,5: Not difficult,40,N,M
X1554F_II,6,6,6: No sexual activity,40,N,M
X1600F_II,.,.Z,XSPECF_II40.,40,N,MF
X1600F_II,LOW,0,XSPECF_II40.,40,N,MLF
X1600F_II,1,1,1: No problem,40,N,M
X1600F_II,2,2,2: Very small problem,40,N,M
X1600F_II,3,3,3: Small problem,40,N,M
X1600F_II,4,4,4: Medium problem,40,N,M
X1600F_II,5,5,5: Big problem,40,N,M
X1600F_II,6,6,6: No sexual activity,40,N,M
X1638F_II,.,.Z,XSPECF_II40.,40,N,MF
X1638F_II,LOW,0,XSPECF_II40.,40,N,MLF
X1638F_II,1,1,1: Very High,40,N,M
X1638F_II,2,2,2: High,40,N,M
X1638F_II,3,3,3: Moderate,40,N,M
X1638F_II,4,4,4: Low,40,N,M
X1638F_II,5,5,5: Very Low or none at all,40,N,M
X1643F_II,.,.Z,XSPECF_II40.,40,N,MF
X1643F_II,LOW,0,XSPECF_II40.,40,N,MLF
X1643F_II,1,1,1: Very Satisfied,40,N,M
X1643F_II,2,2,2: Moderately Satisfied,40,N,M
X1643F_II,3,3,3: About equally satisfied and d,40,N,M
X1643F_II,4,4,4: Moderately Dissatisfied,40,N,M
X1643F_II,5,5,5: Very Dissatisfied,40,N,M
X1643F_II,6,6,6: No sexual activity,40,N,M
X1648F_II,.,.Z,XSPECF_II40.,40,N,MF
X1648F_II,LOW,0,XSPECF_II40.,40,N,MLF
X1648F_II,1,1,1: Very high,40,N,M
X1648F_II,2,2,2: High,40,N,M
X1648F_II,3,3,3: Moderate,40,N,M
X1648F_II,4,4,4: Low,40,N,M
X1648F_II,5,5,5: Very low or none at all,40,N,M
X1651F_II,.,.Z,XSPECF_II40.,40,N,MF
X1651F_II,LOW,0,XSPECF_II40.,40,N,MLF
X1651F_II,1,1,1: Very satisfied,40,N,M
X1651F_II,2,2,2:  Moderately satisfied,40,N,M
X1651F_II,3,3,3: About equally satisfied and d,40,N,M
X1651F_II,4,4,4: Moderately dissatisfied,40,N,M
X1651F_II,5,5,5: Very dissatisfied,40,N,M
X1652F_II,.,.Z,XSPECF_II40.,40,N,MF
X1652F_II,LOW,0,XSPECF_II40.,40,N,MLF
X1652F_II,1,1,1: Very satisfied,40,N,M
X1652F_II,2,2,2: Moderately satisfied,40,N,M
X1652F_II,3,3,3: About equally satisfied and d,40,N,M
X1652F_II,4,4,4: Moderately dissatisfied,40,N,M
X1652F_II,5,5,5: Very dissatisfied,40,N,M
X1652F_II,6,6,6: No sexual activity with a par,40,N,M
X1666F_II,.,.Z,XSPECF_II40.,40,N,MF
X1666F_II,LOW,0,XSPECF_II40.,40,N,MLF
X1666F_II,1,1,1: Yes,40,N,M
X1666F_II,2,2,2: No,40,N,M
X2311F_II,.,.Z,XSPECF_II40.,40,N,MF
X2311F_II,LOW,0,XSPECF_II40.,40,N,MLF
X2312F_II,.,.Z,XSPECF_II40.,40,N,SMF
X2312F_II,LOW,0,XSPECF_II40.,40,N,SMLF
X2312F_II,0,0,0: Did not attempt vaginal penet,40,N,SM
X2312F_II,1,1,1: Almost always or always,40,N,SM
X2312F_II,2,2,2: Most times,40,N,SM
X2312F_II,3,3,3: Sometimes,40,N,SM
X2312F_II,4,4,4: A few times,40,N,SM
X2312F_II,5,5,5: Almost never or never,40,N,SM
X2313F_II,.,.Z,XSPECF_II40.,40,N,SMF
X2313F_II,LOW,0,XSPECF_II40.,40,N,SMLF
X2313F_II,0,0,0: Did not attempt vaginal penet,40,N,SM
X2313F_II,1,1,1: Very high,40,N,SM
X2313F_II,2,2,2: Most times,40,N,SM
X2313F_II,3,3,3: Sometimes,40,N,SM
X2313F_II,4,4,4: A few times,40,N,SM
X2313F_II,5,5,5: Almost never or never,40,N,SM
X2314F_II,.,.Z,XSPECF_II40.,40,N,SMF
X2314F_II,LOW,0,XSPECF_II40.,40,N,SMLF
X2314F_II,0,0,0: NOT SELECTED,40,N,SM
X2314F_II,1,1,1: SELECTED,40,N,SM
X2315F_II,.,.Z,XSPECF_II40.,40,N,SMF
X2315F_II,LOW,0,XSPECF_II40.,40,N,SMLF
X2315F_II,0,0,0: Never,40,N,SM
X2315F_II,1,1,1: Almost Never,40,N,SM
X2315F_II,2,2,2: Sometimes,40,N,SM
X2315F_II,3,3,3: Fairly Often,40,N,SM
X2315F_II,4,4,4: Very Often,40,N,SM
X2316F_II,.,.Z,XSPECF_II40.,40,N,SMF
X2316F_II,LOW,0,XSPECF_II40.,40,N,SMLF
X2316F_II,0,0,0: Never,40,N,SM
X2316F_II,1,1,1: Seldom (1-2 days),40,N,SM
X2316F_II,2,2,2: Sometimes (3-4 days),40,N,SM
X2316F_II,3,3,3: Often (5-7 days),40,N,SM
X2317F_II,.,.Z,XSPECF_II40.,40,N,SMF
X2317F_II,LOW,0,XSPECF_II40.,40,N,SMLF
X2317F_II,0,0,0: Never,40,N,SM
X2317F_II,1,1,1: Seldom,40,N,SM
X2317F_II,2,2,2: Sometimes,40,N,SM
X2317F_II,3,3,3: Often,40,N,SM
X2318F_II,.,.Z,XSPECF_II40.,40,N,SMF
X2318F_II,LOW,0,XSPECF_II40.,40,N,SMLF
X2318F_II,0,0,0: No pain,40,N,SM
X2318F_II,10,10,10: Pain as bad as you can imagi,40,N,SM
X2320F_II,.,.Z,XSPECF_II40.,40,N,SMF
X2320F_II,LOW,0,XSPECF_II40.,40,N,SMLF
X2320F_II,0,0,0: Not currently experiencing pe,40,N,SM
X2320F_II,1,1,1: 1 -2,40,N,SM
X2320F_II,2,2,2:  3 - 5,40,N,SM
X2320F_II,3,3,3:  6 - 10,40,N,SM
X2320F_II,4,4,4:  More than 10,40,N,SM
X2321F_II,.,.Z,XSPECF_II40.,40,N,MF
X2321F_II,LOW,0,XSPECF_II40.,40,N,MLF
X2321F_II,1,1,1:  1 shot (1.5oz),40,N,M
X2321F_II,2,2,2:  2-3 shots,40,N,M
X2321F_II,3,3,3:  4-6 shots or a 1/2pint,40,N,M
X2321F_II,4,4,4:  7-11 shots or a pint,40,N,M
X2321F_II,5,5,5:  2 pints (32oz) or more,40,N,M
X2322F_II,.,.Z,XSPECF_II40.,40,N,MF
X2322F_II,LOW,0,XSPECF_II40.,40,N,MLF
X2322F_II,1,1,1:  1-2 12oz serving(s),40,N,M
X2322F_II,2,2,2:  3-5 12oz servings,40,N,M
X2322F_II,3,3,3:  1-2 six packs (12oz bottles/,40,N,M
X2322F_II,4,4,4:  2-3 six packs (12oz bottles/,40,N,M
X2322F_II,5,5,5:  3+ six packs (12oz bottles/c,40,N,M
X2323F_II,.,.Z,XSPECF_II40.,40,N,MF
X2323F_II,LOW,0,XSPECF_II40.,40,N,MLF
X2323F_II,1,1,1:  1-2 glasses (5oz),40,N,M
X2323F_II,2,2,2:  1/2 carafe (12.5oz),40,N,M
X2323F_II,3,3,3:  1 bottle,40,N,M
X2323F_II,4,4,4:  2-4 bottles,40,N,M
X2323F_II,5,5,5:  5 or more bottles of wine or,40,N,M
X2324F_II,.,.Z,XSPECF_II40.,40,N,MF
X2324F_II,LOW,0,XSPECF_II40.,40,N,MLF
X2324F_II,1,1,1:  35 hrs or more/wk,40,N,M
X2324F_II,2,2,2:  Less than 35 hrs/wk,40,N,M
X2325F_II,.,.Z,XSPECF_II40.,40,N,MF
X2325F_II,LOW,0,XSPECF_II40.,40,N,MLF
X2325F_II,1,1,1:  <3 months,40,N,M
X2325F_II,2,2,2:  3-6 months,40,N,M
X2325F_II,3,3,3:  7-12 months,40,N,M
X2325F_II,4,4,4:  1-5 years,40,N,M
X2325F_II,5,5,5:  6+ years,40,N,M
X2326F_II,.,.Z,XSPECF_II40.,40,N,MF
X2326F_II,LOW,0,XSPECF_II40.,40,N,MLF
X2326F_II,1,1,1:  Drops or a little more,40,N,M
X2326F_II,2,2,2:  Small splashes,40,N,M
X2326F_II,3,3,3:  Or more,40,N,M
X2327F_II,.,.Z,XSPECF_II40.,40,N,MF
X2327F_II,LOW,0,XSPECF_II40.,40,N,MLF
X2327F_II,1,1,1:  English,40,N,M
X2327F_II,2,2,2:  English + Spanish simultaneo,40,N,M
X2327F_II,3,3,3:  Spanish,40,N,M
X2327F_II,99,99,99:  Or something else,40,N,M
X2328F_II,.,.Z,XSPECF_II40.,40,N,MF
X2328F_II,LOW,0,XSPECF_II40.,40,N,MLF
X2328F_II,1,1,1:  Every day,40,N,M
X2328F_II,2,2,2:  5-6 days a week,40,N,M
X2328F_II,3,3,3:  3-4 days a week,40,N,M
X2328F_II,4,4,4:  1-2 days a week,40,N,M
X2328F_II,5,5,"5:  Or, less often than weekly",40,N,M
X2329F_II,.,.Z,XSPECF_II40.,40,N,MF
X2329F_II,LOW,0,XSPECF_II40.,40,N,MLF
X2329F_II,1,1,1:  Has not sought treatment,40,N,M
X2329F_II,2,2,2:  Sought and received treatmen,40,N,M
X2329F_II,3,3,"3:  Sought, but did not receive",40,N,M
X2330F_II,.,.Z,XSPECF_II40.,40,N,MF
X2330F_II,LOW,0,XSPECF_II40.,40,N,MLF
X2330F_II,1,1,1:  I do not have the symptom,40,N,M
X2330F_II,2,2,2:  Rarely,40,N,M
X2330F_II,3,3,3:  A few times,40,N,M
X2330F_II,4,4,4:  Fairly often,40,N,M
X2330F_II,5,5,5:  Usually,40,N,M
X2330F_II,6,6,6:  Almost always,40,N,M
X2331F_II,.,.Z,XSPECF_II40.,40,N,MF
X2331F_II,LOW,0,XSPECF_II40.,40,N,MLF
X2331F_II,1,1,1:  Less than 3 months,40,N,M
X2331F_II,2,2,2:  3 to less than 6 months,40,N,M
X2331F_II,3,3,3:  6 to less than 12 months,40,N,M
X2331F_II,4,4,4:  1 year to less than 5 years,40,N,M
X2331F_II,5,5,5:  5 years or more,40,N,M
X2332F_II,.,.Z,XSPECF_II40.,40,N,MF
X2332F_II,LOW,0,XSPECF_II40.,40,N,MLF
X2332F_II,1,1,1:  Less than 5 hours a night,40,N,M
X2332F_II,2,2,2:  Or more than 5 hours a night,40,N,M
X2333F_II,.,.Z,XSPECF_II40.,40,N,MF
X2333F_II,LOW,0,XSPECF_II40.,40,N,MLF
X2333F_II,1,1,1:  Less than once per month,40,N,M
X2333F_II,2,2,2:  One or more times per month,40,N,M
X2333F_II,3,3,3:  One or more times per week,40,N,M
X2333F_II,4,4,4:  Everyday,40,N,M
X2334F_II,.,.Z,XSPECF_II40.,40,N,MF
X2334F_II,LOW,0,XSPECF_II40.,40,N,MLF
X2334F_II,1,1,1:  Married,40,N,M
X2334F_II,2,2,2: Living with a partner,40,N,M
X2334F_II,3,3,3:  Divorced/separated,40,N,M
X2334F_II,4,4,4:  Widowed,40,N,M
X2334F_II,5,5,"5:  Single, never married",40,N,M
X2334F_II,99,99,99:  Other,40,N,M
X2335F_II,.,.Z,XSPECF_II40.,40,N,MF
X2335F_II,LOW,0,XSPECF_II40.,40,N,MLF
X2335F_II,1,1,1:  No protection,40,N,M
X2335F_II,2,2,"2:  Tissue, toilet paper, or pap",40,N,M
X2335F_II,3,3,3:  Minipad or pantiliner,40,N,M
X2335F_II,4,4,4:  Menstrual pad,40,N,M
X2335F_II,5,5,"5:  Incontinence pad (Poise, Ser",40,N,M
X2335F_II,6,6,6:  Incontinence diaper (Attends,40,N,M
X2335F_II,7,7,7:  Something else,40,N,M
X2336F_II,.,.Z,XSPECF_II40.,40,N,MF
X2336F_II,LOW,0,XSPECF_II40.,40,N,MLF
X2336F_II,1,1,1:  None of the time,40,N,M
X2336F_II,2,2,2:  A little of the time,40,N,M
X2336F_II,3,3,3:  Some of the time,40,N,M
X2336F_II,4,4,4:  Most of the time,40,N,M
X2336F_II,5,5,5:  All of the time,40,N,M
X2337F_II,.,.Z,XSPECF_II40.,40,N,MF
X2337F_II,LOW,0,XSPECF_II40.,40,N,MLF
X2337F_II,1,1,1:  Not at all,40,N,M
X2337F_II,2,2,2:  Once,40,N,M
X2337F_II,3,3,3:  A few times (2-3),40,N,M
X2337F_II,4,4,4:  Several times (4-6),40,N,M
X2337F_II,5,5,5:  Many times (7 or more),40,N,M
X2337F_II,6,6,6:  Everyday,40,N,M
X2338F_II,.,.Z,XSPECF_II40.,40,N,MF
X2338F_II,LOW,0,XSPECF_II40.,40,N,MLF
X2338F_II,1,1,1:  Not at all,40,N,M
X2338F_II,2,2,2:  Slightly,40,N,M
X2338F_II,3,3,3:  Moderately,40,N,M
X2338F_II,4,4,4:  Greatly,40,N,M
