FMTNAME,START,END,LABEL,MIN,MAX,DEFAULT,LENGTH,FUZZ,PREFIX,MULT,FILL,NOEDIT,TYPE,SEXCL,EEXCL,HLO,DECSEP,DIG3SEP,DATATYPE,LANGUAGE
ACRVISIT,2,2,Day 3,1,40,19,19,1E-12,,0,,0,N,N,N,,,,,
ACRVISIT,3,3,Week 1,1,40,19,19,1E-12,,0,,0,N,N,N,,,,,
ACRVISIT,4,4,Week 4,1,40,19,19,1E-12,,0,,0,N,N,N,,,,,
ACRVISIT,5,5,Week 12,1,40,19,19,1E-12,,0,,0,N,N,N,,,,,
ACSTATE,1,1,Fasting,1,40,7,7,1E-12,,0,,0,N,N,N,,,,,
ACSTATE,2,2,Fed,1,40,7,7,1E-12,,0,,0,N,N,N,,,,,
ACSTATE,99,99,Unknown,1,40,7,7,1E-12,,0,,0,N,N,N,,,,,
ACSTB,1,1,Yes,1,40,8,8,1E-12,,0,,0,N,N,N,,,,,
ACSTB,97,97,Not done,1,40,8,8,1E-12,,0,,0,N,N,N,,,,,
ACSTBUNT,4,4,?mol/L,1,40,6,6,1E-12,,0,,0,N,N,N,,,,,
ACSTBUNT,5,5,mg/dL,1,40,6,6,1E-12,,0,,0,N,N,N,,,,,
ACTIVE,0,0,No,1,40,3,3,1E-12,,0,,0,N,N,N,,,,,
ACTIVE,1,1,Yes,1,40,3,3,1E-12,,0,,0,N,N,N,,,,,
ACUTCHOL,0,0,Absent,1,40,7,7,1E-12,,0,,0,N,N,N,,,,,
ACUTCHOL,1,1,Present,1,40,7,7,1E-12,,0,,0,N,N,N,,,,,
AGECAT,0,0,>0 - <10,1,40,8,8,1E-12,,0,,0,N,N,N,,,,,
AGECAT,1,1,10 - <20,1,40,8,8,1E-12,,0,,0,N,N,N,,,,,
AGECAT,2,2,20 - <30,1,40,8,8,1E-12,,0,,0,N,N,N,,,,,
AGECAT,3,3,30 - <40,1,40,8,8,1E-12,,0,,0,N,N,N,,,,,
AGECAT,4,4,40 - <50,1,40,8,8,1E-12,,0,,0,N,N,N,,,,,
AGECAT,5,5,50 - <60,1,40,8,8,1E-12,,0,,0,N,N,N,,,,,
AGECAT,6,6,60 - <70,1,40,8,8,1E-12,,0,,0,N,N,N,,,,,
AGECAT,7,7,70 - <80,1,40,8,8,1E-12,,0,,0,N,N,N,,,,,
AGECAT,8,8,80 - <90,1,40,8,8,1E-12,,0,,0,N,N,N,,,,,
AGECAT,9,9,>=90,1,40,8,8,1E-12,,0,,0,N,N,N,,,,,
AIDS,0,0,No,1,40,3,3,1E-12,,0,,0,N,N,N,,,,,
AIDS,1,1,Yes,1,40,3,3,1E-12,,0,,0,N,N,N,,,,,
AIDSLV,0,0,No,1,40,3,3,1E-12,,0,,0,N,N,N,,,,,
AIDSLV,1,1,Yes,1,40,3,3,1E-12,,0,,0,N,N,N,,,,,
AIDSPRO,0,0,No,1,40,3,3,1E-12,,0,,0,N,N,N,,,,,
AIDSPRO,1,1,Yes,1,40,3,3,1E-12,,0,,0,N,N,N,,,,,
AKP,1,1,Yes,1,40,8,8,1E-12,,0,,0,N,N,N,,,,,
AKP,97,97,Not done,1,40,8,8,1E-12,,0,,0,N,N,N,,,,,
ALBUN,1,1,Yes,1,40,8,8,1E-12,,0,,0,N,N,N,,,,,
ALBUN,97,97,Not done,1,40,8,8,1E-12,,0,,0,N,N,N,,,,,
ALBUVALU,1,1,g/dL,1,40,4,4,1E-12,,0,,0,N,N,N,,,,,
ALBUVALU,9,9,g/L,1,40,4,4,1E-12,,0,,0,N,N,N,,,,,
ALCOHOL,0,0,No,1,40,3,3,1E-12,,0,,0,N,N,N,,,,,
ALCOHOL,1,1,Yes,1,40,3,3,1E-12,,0,,0,N,N,N,,,,,
ALCOHOLX,0,0,No,1,40,3,3,1E-12,,0,,0,N,N,N,,,,,
ALCOHOLX,1,1,Yes,1,40,3,3,1E-12,,0,,0,N,N,N,,,,,
ALCOHYN,0,0,No,1,40,3,3,1E-12,,0,,0,N,N,N,,,,,
ALCOHYN,1,1,Yes,1,40,3,3,1E-12,,0,,0,N,N,N,,,,,
ALLERGY,0,0,No,1,40,3,3,1E-12,,0,,0,N,N,N,,,,,
ALLERGY,1,1,Yes,1,40,3,3,1E-12,,0,,0,N,N,N,,,,,
ALT,1,1,Yes,1,40,8,8,1E-12,,0,,0,N,N,N,,,,,
ALT,97,97,Not done,1,40,8,8,1E-12,,0,,0,N,N,N,,,,,
AMEDCONT,1,1,Continuing,1,40,10,10,1E-12,,0,,0,N,N,N,,,,,
AMEDCONT,2,2,Stop Date:,1,40,10,10,1E-12,,0,,0,N,N,N,,,,,
ANTHBEYN,0,0,No,1,40,3,3,1E-12,,0,,0,N,N,N,,,,,
ANTHBEYN,1,1,Yes,1,40,3,3,1E-12,,0,,0,N,N,N,,,,,
ANTHDVRS,0,0,Negative,1,40,8,8,1E-12,,0,,0,N,N,N,,,,,
ANTHDVRS,1,1,Positive,1,40,8,8,1E-12,,0,,0,N,N,N,,,,,
ANTHDVRS,99,99,Unknown,1,40,8,8,1E-12,,0,,0,N,N,N,,,,,
ANTHDVYN,0,0,No,1,40,3,3,1E-12,,0,,0,N,N,N,,,,,
ANTHDVYN,1,1,Yes,1,40,3,3,1E-12,,0,,0,N,N,N,,,,,
APHQ2FUN,1,1,Yes,1,40,7,7,1E-12,,0,,0,N,N,N,,,,,
APHQ2FUN,99,99,Unknown,1,40,7,7,1E-12,,0,,0,N,N,N,,,,,
APHQ2TUN,1,1,Yes,1,40,7,7,1E-12,,0,,0,N,N,N,,,,,
APHQ2TUN,99,99,Unknown,1,40,7,7,1E-12,,0,,0,N,N,N,,,,,
APHQ2TYP,1,1,Rural,1,40,5,5,1E-12,,0,,0,N,N,N,,,,,
APHQ2TYP,2,2,Urban,1,40,5,5,1E-12,,0,,0,N,N,N,,,,,
APHQ3FUN,1,1,Yes,1,40,7,7,1E-12,,0,,0,N,N,N,,,,,
APHQ3FUN,99,99,Unknown,1,40,7,7,1E-12,,0,,0,N,N,N,,,,,
APHQ3RUN,1,1,Yes,1,40,7,7,1E-12,,0,,0,N,N,N,,,,,
APHQ3RUN,99,99,Unknown,1,40,7,7,1E-12,,0,,0,N,N,N,,,,,
APHQ3YN,0,0,No,1,40,3,3,1E-12,,0,,0,N,N,N,,,,,
APHQ3YN,1,1,Yes,1,40,3,3,1E-12,,0,,0,N,N,N,,,,,
APHQ4FUN,1,1,Yes,1,40,7,7,1E-12,,0,,0,N,N,N,,,,,
APHQ4FUN,99,99,Unknown,1,40,7,7,1E-12,,0,,0,N,N,N,,,,,
APHQ4RUN,1,1,Yes,1,40,7,7,1E-12,,0,,0,N,N,N,,,,,
APHQ4RUN,99,99,Unknown,1,40,7,7,1E-12,,0,,0,N,N,N,,,,,
APHQ4YN,0,0,No,1,40,3,3,1E-12,,0,,0,N,N,N,,,,,
APHQ4YN,1,1,Yes,1,40,3,3,1E-12,,0,,0,N,N,N,,,,,
APHQ5FUN,1,1,Yes,1,40,7,7,1E-12,,0,,0,N,N,N,,,,,
APHQ5FUN,99,99,Unknown,1,40,7,7,1E-12,,0,,0,N,N,N,,,,,
APHQ5RUN,1,1,Year of Most Recent Exposure,1,40,28,28,1E-12,,0,,0,N,N,N,,,,,
APHQ5RUN,99,99,Unknown,1,40,28,28,1E-12,,0,,0,N,N,N,,,,,
APHQ5YN,0,0,No,1,40,3,3,1E-12,,0,,0,N,N,N,,,,,
APHQ5YN,1,1,Yes,1,40,3,3,1E-12,,0,,0,N,N,N,,,,,
APHQ6YN,0,0,No,1,40,3,3,1E-12,,0,,0,N,N,N,,,,,
APHQ6YN,1,1,Yes,1,40,3,3,1E-12,,0,,0,N,N,N,,,,,
APHQ7FUN,1,1,Yes,1,40,7,7,1E-12,,0,,0,N,N,N,,,,,
APHQ7FUN,99,99,Unknown,1,40,7,7,1E-12,,0,,0,N,N,N,,,,,
APHQ7RUN,1,1,Yes,1,40,7,7,1E-12,,0,,0,N,N,N,,,,,
APHQ7RUN,99,99,Unknown,1,40,7,7,1E-12,,0,,0,N,N,N,,,,,
APHQ7YN,0,0,No,1,40,3,3,1E-12,,0,,0,N,N,N,,,,,
APHQ7YN,1,1,Yes,1,40,3,3,1E-12,,0,,0,N,N,N,,,,,
APHQ8FUN,1,1,Yes,1,40,7,7,1E-12,,0,,0,N,N,N,,,,,
APHQ8FUN,99,99,Unknown,1,40,7,7,1E-12,,0,,0,N,N,N,,,,,
APHQ8RUN,1,1,Yes,1,40,7,7,1E-12,,0,,0,N,N,N,,,,,
APHQ8RUN,99,99,Unknown,1,40,7,7,1E-12,,0,,0,N,N,N,,,,,
APHQ8YN,0,0,No,1,40,3,3,1E-12,,0,,0,N,N,N,,,,,
APHQ8YN,1,1,Yes,1,40,3,3,1E-12,,0,,0,N,N,N,,,,,
APHQ9YN,0,0,No,1,40,3,3,1E-12,,0,,0,N,N,N,,,,,
APHQ9YN,1,1,Yes,1,40,3,3,1E-12,,0,,0,N,N,N,,,,,
APHQTRVL,0,0,No,1,40,3,3,1E-12,,0,,0,N,N,N,,,,,
APHQTRVL,1,1,Yes,1,40,3,3,1E-12,,0,,0,N,N,N,,,,,
APOPTOS,0,0,None to rare,1,40,26,26,1E-12,,0,,0,N,N,N,,,,,
APOPTOS,1,1,Mild (< 1 per 40x hpf),1,40,26,26,1E-12,,0,,0,N,N,N,,,,,
APOPTOS,2,2,Moderate (1-3 per 40x hpf),1,40,26,26,1E-12,,0,,0,N,N,N,,,,,
APOPTOS,3,3,Marked (>3 per 40x hpf),1,40,26,26,1E-12,,0,,0,N,N,N,,,,,
ASCITES,1,1,Ascites,1,40,7,7,1E-12,,0,,0,N,N,N,,,,,
ASCITEYN,0,0,No,1,40,3,3,1E-12,,0,,0,N,N,N,,,,,
ASCITEYN,1,1,Yes,1,40,3,3,1E-12,,0,,0,N,N,N,,,,,
ASIAN,1,1,Asian,1,40,5,5,1E-12,,0,,0,N,N,N,,,,,
ASSESS01_,1,1,Normal,1,40,8,8,1E-12,,0,,0,N,N,N,,,,,
ASSESS01_,2,2,Abnormal,1,40,8,8,1E-12,,0,,0,N,N,N,,,,,
ASSESS01_,97,97,Not done,1,40,8,8,1E-12,,0,,0,N,N,N,,,,,
ASSESS02_,1,1,Normal,1,40,8,8,1E-12,,0,,0,N,N,N,,,,,
ASSESS02_,2,2,Abnormal,1,40,8,8,1E-12,,0,,0,N,N,N,,,,,
ASSESS02_,97,97,Not done,1,40,8,8,1E-12,,0,,0,N,N,N,,,,,
ASSESS03_,1,1,Normal,1,40,8,8,1E-12,,0,,0,N,N,N,,,,,
ASSESS03_,2,2,Abnormal,1,40,8,8,1E-12,,0,,0,N,N,N,,,,,
ASSESS03_,97,97,Not done,1,40,8,8,1E-12,,0,,0,N,N,N,,,,,
ASSESS04_,1,1,Normal,1,40,8,8,1E-12,,0,,0,N,N,N,,,,,
ASSESS04_,2,2,Abnormal,1,40,8,8,1E-12,,0,,0,N,N,N,,,,,
ASSESS04_,97,97,Not done,1,40,8,8,1E-12,,0,,0,N,N,N,,,,,
ASSESS05_,1,1,Normal,1,40,8,8,1E-12,,0,,0,N,N,N,,,,,
ASSESS05_,2,2,Abnormal,1,40,8,8,1E-12,,0,,0,N,N,N,,,,,
ASSESS05_,97,97,Not done,1,40,8,8,1E-12,,0,,0,N,N,N,,,,,
ASSESS06_,1,1,Normal,1,40,8,8,1E-12,,0,,0,N,N,N,,,,,
ASSESS06_,2,2,Abnormal,1,40,8,8,1E-12,,0,,0,N,N,N,,,,,
ASSESS06_,97,97,Not done,1,40,8,8,1E-12,,0,,0,N,N,N,,,,,
ASSESS07_,1,1,Normal,1,40,8,8,1E-12,,0,,0,N,N,N,,,,,
ASSESS07_,2,2,Abnormal,1,40,8,8,1E-12,,0,,0,N,N,N,,,,,
ASSESS07_,97,97,Not done,1,40,8,8,1E-12,,0,,0,N,N,N,,,,,
ASSESS08_,1,1,Normal,1,40,8,8,1E-12,,0,,0,N,N,N,,,,,
ASSESS08_,2,2,Abnormal,1,40,8,8,1E-12,,0,,0,N,N,N,,,,,
ASSESS08_,97,97,Not done,1,40,8,8,1E-12,,0,,0,N,N,N,,,,,
ASSESS09_,1,1,Normal,1,40,8,8,1E-12,,0,,0,N,N,N,,,,,
ASSESS09_,2,2,Abnormal,1,40,8,8,1E-12,,0,,0,N,N,N,,,,,
ASSESS09_,97,97,Not done,1,40,8,8,1E-12,,0,,0,N,N,N,,,,,
ASSESS10_,1,1,Normal,1,40,8,8,1E-12,,0,,0,N,N,N,,,,,
ASSESS10_,2,2,Abnormal,1,40,8,8,1E-12,,0,,0,N,N,N,,,,,
ASSESS10_,97,97,Not done,1,40,8,8,1E-12,,0,,0,N,N,N,,,,,
ASSESS11_,1,1,Normal,1,40,8,8,1E-12,,0,,0,N,N,N,,,,,
ASSESS11_,2,2,Abnormal,1,40,8,8,1E-12,,0,,0,N,N,N,,,,,
ASSESS11_,97,97,Not done,1,40,8,8,1E-12,,0,,0,N,N,N,,,,,
ASSESS12_,1,1,Normal,1,40,8,8,1E-12,,0,,0,N,N,N,,,,,
ASSESS12_,2,2,Abnormal,1,40,8,8,1E-12,,0,,0,N,N,N,,,,,
ASSESS12_,97,97,Not done,1,40,8,8,1E-12,,0,,0,N,N,N,,,,,
ASSESS13_,1,1,Normal,1,40,8,8,1E-12,,0,,0,N,N,N,,,,,
ASSESS13_,2,2,Abnormal,1,40,8,8,1E-12,,0,,0,N,N,N,,,,,
ASSESS13_,97,97,Not done,1,40,8,8,1E-12,,0,,0,N,N,N,,,,,
ASSESS14_,1,1,Normal,1,40,8,8,1E-12,,0,,0,N,N,N,,,,,
ASSESS14_,2,2,Abnormal,1,40,8,8,1E-12,,0,,0,N,N,N,,,,,
ASSESS14_,97,97,Not done,1,40,8,8,1E-12,,0,,0,N,N,N,,,,,
AST,1,1,Yes,1,40,8,8,1E-12,,0,,0,N,N,N,,,,,
AST,97,97,Not done,1,40,8,8,1E-12,,0,,0,N,N,N,,,,,
ASYMP,1,1,SYMPTOMATIC,1,40,12,12,1E-12,,0,,0,N,N,N,,,,,
ASYMP,2,2,ASYMPTOMATIC,1,40,12,12,1E-12,,0,,0,N,N,N,,,,,
ATHBECYN,0,0,No,1,40,3,3,1E-12,,0,,0,N,N,N,,,,,
ATHBECYN,1,1,Yes,1,40,3,3,1E-12,,0,,0,N,N,N,,,,,
BACUNIT,1,1,count/HPF,1,40,9,9,1E-12,,0,,0,N,N,N,,,,,
BACUNIT,2,2,uL,1,40,9,9,1E-12,,0,,0,N,N,N,,,,,
BACYN,1,1,Yes,1,40,12,12,1E-12,,0,,0,N,N,N,,,,,
BACYN,2,2,Not Reported,1,40,12,12,1E-12,,0,,0,N,N,N,,,,,
BACYN,97,97,Not done,1,40,12,12,1E-12,,0,,0,N,N,N,,,,,
BEERY,1,1,Beer %,1,40,6,6,1E-12,,0,,0,N,N,N,,,,,
BILIARY,1,1,Biliary dilation,1,40,16,16,1E-12,,0,,0,N,N,N,,,,,
BILRUBIN,1,1,Negative,1,40,8,8,1E-12,,0,,0,N,N,N,,,,,
BILRUBIN,3,3,(+)1,1,40,8,8,1E-12,,0,,0,N,N,N,,,,,
BILRUBIN,4,4,(+)2,1,40,8,8,1E-12,,0,,0,N,N,N,,,,,
BILRUBIN,5,5,(+)3,1,40,8,8,1E-12,,0,,0,N,N,N,,,,,
BILRUBIN,98,98,Other,1,40,8,8,1E-12,,0,,0,N,N,N,,,,,
BILRUBYN,1,1,Yes,1,40,8,8,1E-12,,0,,0,N,N,N,,,,,
BILRUBYN,97,97,Not done,1,40,8,8,1E-12,,0,,0,N,N,N,,,,,
BIOPTYPE,1,1,DILI event - historic biopsy,1,40,28,28,1E-12,,0,,0,N,N,N,,,,,
BIOPTYPE,2,2,Baseline,1,40,28,28,1E-12,,0,,0,N,N,N,,,,,
BIOPTYPE,3,3,12 Month,1,40,28,28,1E-12,,0,,0,N,N,N,,,,,
BIOPTYPE,4,4,Autopsy,1,40,28,28,1E-12,,0,,0,N,N,N,,,,,
BIOPTYPE,5,5,Transplant biopsy,1,40,28,28,1E-12,,0,,0,N,N,N,,,,,
BIOPTYPE,98,98,Other,1,40,28,28,1E-12,,0,,0,N,N,N,,,,,
BIOPTYPK,1,1,Biopsy at time of injury,1,40,24,24,1E-12,,0,,0,N,N,N,,,,,
BIOPTYPK,2,2,Biopsy at Baseline Visit,1,40,24,24,1E-12,,0,,0,N,N,N,,,,,
BIOPTYPK,3,3,Autopsy,1,40,24,24,1E-12,,0,,0,N,N,N,,,,,
BIOPTYPK,4,4,Explant,1,40,24,24,1E-12,,0,,0,N,N,N,,,,,
BIOPTYPK,98,98,Other,1,40,24,24,1E-12,,0,,0,N,N,N,,,,,
BLACK,1,1,Black or African American,1,40,25,25,1E-12,,0,,0,N,N,N,,,,,
BLDSAMP,0,0,No,1,40,3,3,1E-12,,0,,0,N,N,N,,,,,
BLDSAMP,1,1,Yes,1,40,3,3,1E-12,,0,,0,N,N,N,,,,,
BLDSTATE,1,1,Fasting,1,40,7,7,1E-12,,0,,0,N,N,N,,,,,
BLDSTATE,2,2,Fed,1,40,7,7,1E-12,,0,,0,N,N,N,,,,,
BLDSTATE,99,99,Unknown,1,40,7,7,1E-12,,0,,0,N,N,N,,,,,
BLDXSTAT,1,1,Fasting,1,40,7,7,1E-12,,0,,0,N,N,N,,,,,
BLDXSTAT,2,2,Fed,1,40,7,7,1E-12,,0,,0,N,N,N,,,,,
BLDXSTAT,99,99,Unknown,1,40,7,7,1E-12,,0,,0,N,N,N,,,,,
BODYPAIN,1,1,None,1,40,11,11,1E-12,,0,,0,N,N,N,,,,,
BODYPAIN,2,2,Very mild,1,40,11,11,1E-12,,0,,0,N,N,N,,,,,
BODYPAIN,3,3,Mild,1,40,11,11,1E-12,,0,,0,N,N,N,,,,,
BODYPAIN,4,4,Moderate,1,40,11,11,1E-12,,0,,0,N,N,N,,,,,
BODYPAIN,5,5,Severe,1,40,11,11,1E-12,,0,,0,N,N,N,,,,,
BODYPAIN,6,6,Very severe,1,40,11,11,1E-12,,0,,0,N,N,N,,,,,
BPDEGREE,0,0,None,1,40,21,21,1E-12,,0,,0,N,N,N,,,,,
BPDEGREE,1,1,< 5% of hepatocytes,1,40,21,21,1E-12,,0,,0,N,N,N,,,,,
BPDEGREE,2,2,5-33% of hepatocytes,1,40,21,21,1E-12,,0,,0,N,N,N,,,,,
BPDEGREE,3,3,33-66% of hepatocytes,1,40,21,21,1E-12,,0,,0,N,N,N,,,,,
BPDEGREE,4,4,> 66% of hepatocytes,1,40,21,21,1E-12,,0,,0,N,N,N,,,,,
CAJUDG,1,1,Definite Greater than 95%,1,40,25,25,1E-12,,0,,0,N,N,N,,,,,
CAJUDG,2,2,Very likely 75-95%,1,40,25,25,1E-12,,0,,0,N,N,N,,,,,
CAJUDG,3,3,Probable 50-75%,1,40,25,25,1E-12,,0,,0,N,N,N,,,,,
CAJUDG,4,4,Possible 25-50%,1,40,25,25,1E-12,,0,,0,N,N,N,,,,,
CAJUDG,5,5,Unlikely Less than 25%,1,40,25,25,1E-12,,0,,0,N,N,N,,,,,
CAMCONT,1,1,Continuing,1,40,10,10,1E-12,,0,,0,N,N,N,,,,,
CAMCONT,2,2,Stop Date:,1,40,10,10,1E-12,,0,,0,N,N,N,,,,,
CAMIND,1,1,Liver disease,1,40,38,38,1E-12,,0,,0,N,N,N,,,,,
CAMIND,2,2,Heart disease,1,40,38,38,1E-12,,0,,0,N,N,N,,,,,
CAMIND,3,3,Cancer,1,40,38,38,1E-12,,0,,0,N,N,N,,,,,
CAMIND,4,4,Depression,1,40,38,38,1E-12,,0,,0,N,N,N,,,,,
CAMIND,5,5,Disease prevention for Indications 1-4,1,40,38,38,1E-12,,0,,0,N,N,N,,,,,
CAMIND,6,6,General health,1,40,38,38,1E-12,,0,,0,N,N,N,,,,,
CAMIND,98,98,Other,1,40,38,38,1E-12,,0,,0,N,N,N,,,,,
CAMINGYN,0,0,No,1,40,3,3,1E-12,,0,,0,N,N,N,,,,,
CAMINGYN,1,1,Yes,1,40,3,3,1E-12,,0,,0,N,N,N,,,,,
CAMLCONT,1,1,Continuing,1,40,10,10,1E-12,,0,,0,N,N,N,,,,,
CAMLCONT,2,2,Stop Date:,1,40,10,10,1E-12,,0,,0,N,N,N,,,,,
CANALICU,0,0,Absent,1,40,7,7,1E-12,,0,,0,N,N,N,,,,,
CANALICU,1,1,Present,1,40,7,7,1E-12,,0,,0,N,N,N,,,,,
CAPYN,0,0,No,1,40,3,3,1E-12,,0,,0,N,N,N,,,,,
CAPYN,1,1,Yes,1,40,3,3,1E-12,,0,,0,N,N,N,,,,,
CARUCM,1,1,Beginning of drug,1,44,44,44,1E-12,,0,,0,N,N,N,,,,,
CARUCM,2,2,Cessation of the drug,1,44,44,44,1E-12,,0,,0,N,N,N,,,,,
CARUCM,3,3,After cessation of drug OR Drug is continued,1,44,44,44,1E-12,,0,,0,N,N,N,,,,,
CARUCM,4,4,Presence/Absence,1,44,44,44,1E-12,,0,,0,N,N,N,,,,,
CARUCM,5,5,Age > or < 55 Years,1,44,44,44,1E-12,,0,,0,N,N,N,,,,,
CARUCM,6,6,Concomitant drugs,1,44,44,44,1E-12,,0,,0,N,N,N,,,,,
CARUCM,7,7,Search for nondrug causes,1,44,44,44,1E-12,,0,,0,N,N,N,,,,,
CARUCM,8,8,Previous information,1,44,44,44,1E-12,,0,,0,N,N,N,,,,,
CARUCM,9,9,Response to readministration,1,44,44,44,1E-12,,0,,0,N,N,N,,,,,
CARVWR,1,1,Site investigator,1,40,19,19,1E-12,,0,,0,N,N,N,,,,,
CARVWR,2,2,Reviewer A,1,40,19,19,1E-12,,0,,0,N,N,N,,,,,
CARVWR,3,3,Reviewer B,1,40,19,19,1E-12,,0,,0,N,N,N,,,,,
CARVWR,4,4,Causality Committee,1,40,19,19,1E-12,,0,,0,N,N,N,,,,,
CASCOR,1,1,+3,1,40,2,2,1E-12,,0,,0,N,N,N,,,,,
CASCOR,2,2,+2,1,40,2,2,1E-12,,0,,0,N,N,N,,,,,
CASCOR,3,3,+1,1,40,2,2,1E-12,,0,,0,N,N,N,,,,,
CASCOR,4,4,0,1,40,2,2,1E-12,,0,,0,N,N,N,,,,,
CASCOR,5,5,-1,1,40,2,2,1E-12,,0,,0,N,N,N,,,,,
CASCOR,6,6,-2,1,40,2,2,1E-12,,0,,0,N,N,N,,,,,
CASCOR,7,7,-3,1,40,2,2,1E-12,,0,,0,N,N,N,,,,,
CASTUNIT,1,1,count/HPF,1,40,9,9,1E-12,,0,,0,N,N,N,,,,,
CASTUNIT,2,2,count/LPF,1,40,9,9,1E-12,,0,,0,N,N,N,,,,,
CASTYN,1,1,Yes,1,40,12,12,1E-12,,0,,0,N,N,N,,,,,
CASTYN,2,2,Not Reported,1,40,12,12,1E-12,,0,,0,N,N,N,,,,,
CASTYN,97,97,Not done,1,40,12,12,1E-12,,0,,0,N,N,N,,,,,
CD4RCYN,0,0,No,1,40,3,3,1E-12,,0,,0,N,N,N,,,,,
CD4RCYN,1,1,Yes,1,40,3,3,1E-12,,0,,0,N,N,N,,,,,
CD4RYN,0,0,No,1,40,3,3,1E-12,,0,,0,N,N,N,,,,,
CD4RYN,1,1,Yes,1,40,3,3,1E-12,,0,,0,N,N,N,,,,,
CEREDEMA,1,1,Cerebral edema,1,40,14,14,1E-12,,0,,0,N,N,N,,,,,
CFREQ,1,1,QD,1,40,7,7,1E-12,,0,,0,N,N,N,,,,,
CFREQ,2,2,BID,1,40,7,7,1E-12,,0,,0,N,N,N,,,,,
CFREQ,3,3,TID,1,40,7,7,1E-12,,0,,0,N,N,N,,,,,
CFREQ,4,4,QID,1,40,7,7,1E-12,,0,,0,N,N,N,,,,,
CFREQ,5,5,PRN,1,40,7,7,1E-12,,0,,0,N,N,N,,,,,
CFREQ,6,6,Weekly,1,40,7,7,1E-12,,0,,0,N,N,N,,,,,
CFREQ,7,7,Monthly,1,40,7,7,1E-12,,0,,0,N,N,N,,,,,
